Test_Time,Site_ID,Row,Col,Final_Result,Fail_Reason,Power_Current,Power_Check_Result,S1_Gain_Config,S1_Input_Amp,S1_Gain,S1_Offset,S1_No_Linearity,S1_Max_INL,S1_Max_DNL,S1_Result,S2_Gain_Config,S2_Input_Amp,S2_Gain,S2_Offset,S2_No_Linearity,S2_Max_INL,S2_Max_DNL,S2_Result,S3_Gain_Config,S3_Input_Amp,S3_Gain,S3_Offset,S3_No_Linearity,S3_Max_INL,S3_Max_DNL,S3_Result,S4_Gain_Config,S4_Input_Amp,S4_Gain,S4_Offset,S4_No_Linearity,S4_Max_INL,S4_Max_DNL,S4_Result,S5_Gain_Config,S5_Input_Amp,S5_Gain,S5_Offset,S5_No_Linearity,S5_Max_INL,S5_Max_DNL,S5_Result,S6_Gain_Config,S6_Input_Amp,S6_Gain,S6_Offset,S6_No_Linearity,S6_Max_INL,S6_Max_DNL,S6_Result,S7_Gain_Config,S7_Input_Amp,S7_Gain,S7_Offset,S7_No_Linearity,S7_Max_INL,S7_Max_DNL,S7_Result
2026-02-10 18:50:40,2,1,2,FAIL,Stage1_Fail,0.0,FAIL (Ignored),-9.6,0.5,,,,,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 18:54:01,3,2,1,FAIL,Stage1_Fail,0.0,FAIL (Ignored),-9.6,0.5,,,,,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 18:58:42,1,1,1,PASS,,0.0,FAIL (Ignored),-9.6,0.5,1.000338,0.002246,0.0175,0,0,PASS,-3.6,0.3784,1.000373,0.002255,0.0293,0,0,PASS,0,0.25,1.000348,0.002237,0.0438,0,0,PASS,2,0.1986,1.00024,0.002238,0.0531,0,0,PASS,4,0.1577,1.000314,0.002171,0.0629,0,0,PASS,6,0.1253,1.00037,0.002175,0.0766,0,0,PASS,8,0.0995,1.000414,0.002173,0.1247,0,0,PASS
2026-02-25 14:18:33,1,1,1,PASS,,0.0,FAIL (Ignored),-9.6,0.5,1.000226,0.000282,0.0089,0,0,PASS,-3.6,0.3784,1.000224,0.000296,0.014,0,0,PASS,0,0.25,1.000248,0.000295,0.0173,0,0,PASS,2,0.1986,1.000112,0.000293,0.0269,0,0,PASS,4,0.1577,1.000096,0.000287,0.0257,0,0,PASS,6,0.1253,1.000137,0.000285,0.035,0,0,PASS,8,0.0995,1.000119,0.000287,0.0435,0,0,PASS
2026-02-25 14:55:09,1,1,1,FAIL,User Stopped,0.0,FAIL (Ignored),-9.6,0.5,0.999898,-0.002204,0.0051,0,0,PASS,-3.6,0.5,0.999884,-0.002205,0.0051,0,0,PASS,0,0.25,0.999903,-0.002203,0.0104,0,0,PASS,2,0.25,0.999903,-0.002215,0.0093,0,0,PASS,4,0.2,0.999923,-0.002216,0.0108,0,0,PASS,,,,,,,,,,,,,,,,
2026-02-25 15:40:54,1,1,1,FAIL,User Stopped,0.0,FAIL (Ignored),-9.6,0.5,0.99988,-0.002219,0.0046,0,0,PASS,-3.6,0.5,0.999887,-0.002216,0.0044,0,0,PASS,0,0.25,0.999937,-0.002226,0.0092,0,0,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25 15:47:22,1,1,1,PASS,,0.0,FAIL (Ignored),-9.6,0.5,0.999877,-0.002222,0.0044,0,0,PASS,-3.6,0.5,0.999886,-0.002221,0.0046,0,0,PASS,0,0.25,0.999895,-0.002221,0.0091,0,0,PASS,2,0.25,0.999914,-0.002217,0.0095,0,0,PASS,4,0.2,0.999904,-0.00222,0.0119,0,0,PASS,6,0.2,0.999954,-0.002224,0.0113,0,0,PASS,8,0.15,0.999933,-0.002224,0.0166,0,0,PASS
2026-02-25 16:24:07,1,1,1,PASS,,0.0,FAIL (Ignored),-9.6,0.5,0.999881,-0.002216,0.0042,0,0,PASS,-3.6,0.5,0.999881,-0.002215,0.0042,0,0,PASS,0,0.25,0.999893,-0.002213,0.0097,0,0,PASS,2,0.25,0.999938,-0.002211,0.0095,0,0,PASS,4,0.2,0.999925,-0.002208,0.0129,0,0,PASS,6,0.2,0.999899,-0.002215,0.0121,0,0,PASS,8,0.15,0.999962,-0.002215,0.0161,0,0,PASS
2026-02-25 16:31:47,2,1,2,PASS,,0.0,FAIL (Ignored),-9.6,0.5,0.999886,-0.002212,0.0043,0,0,PASS,-3.6,0.5,0.999885,-0.002207,0.0045,0,0,PASS,0,0.25,0.999927,-0.002214,0.0099,0,0,PASS,2,0.25,0.999916,-0.002213,0.009,0,0,PASS,4,0.2,0.999959,-0.002211,0.0109,0,0,PASS,6,0.2,0.999942,-0.002209,0.0117,0,0,PASS,8,0.15,0.999911,-0.002206,0.0154,0,0,PASS
2026-02-25 18:07:10,1,1,1,FAIL,User Stopped,0.0,FAIL (Ignored),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25 18:28:46,1,1,1,FAIL,User Stopped,0.0,FAIL (Ignored),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25 18:58:30,1,1,1,FAIL,User Stopped,0.0,FAIL (Ignored),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
